"","Partito","Data","Percentuale","Istituto","Campione"
"278","NEOS",2019-04-15,7,"Market",803
"279","SPÖ",2019-04-15,28,"Market",803
"280","ÖVP",2019-04-15,34,"Market",803
"281","FPÖ",2019-05-02,22,"Demox Research",1500
"282","FPÖ",2019-05-02,24.5,"OGM",860
"283","GRÜNE",2019-05-02,6,"Demox Research",1500
"284","GRÜNE",2019-05-02,7,"OGM",860
"285","NEOS",2019-05-02,8,"Demox Research",1500
"286","NEOS",2019-05-02,7,"OGM",860
"287","SPÖ",2019-05-02,27,"Demox Research",1500
"288","SPÖ",2019-05-02,27.5,"OGM",860
"289","ÖVP",2019-05-02,34,"Demox Research",1500
"290","ÖVP",2019-05-02,30.5,"OGM",860
"291","FPÖ",2019-05-09,23,"Unique Research",2405
"292","GRÜNE",2019-05-09,10,"Unique Research",2405
"293","NEOS",2019-05-09,8,"Unique Research",2405
"294","SPÖ",2019-05-09,27,"Unique Research",2405
"295","ÖVP",2019-05-09,30,"Unique Research",2405
"296","FPÖ",2019-05-29,21,"OGM",805
"297","GRÜNE",2019-05-29,10,"OGM",805
"298","NEOS",2019-05-29,8,"OGM",805
"299","SPÖ",2019-05-29,22,"OGM",805
"300","ÖVP",2019-05-29,36,"OGM",805
"301","FPÖ",2019-05-31,18.5,"Demox Research",1000
"302","FPÖ",2019-05-31,19,"Unique Research",954
"303","GRÜNE",2019-05-31,8.5,"Demox Research",1000
"304","GRÜNE",2019-05-31,10,"Unique Research",954
"305","NEOS",2019-05-31,10.5,"Demox Research",1000
"306","NEOS",2019-05-31,10,"Unique Research",954
"307","SPÖ",2019-05-31,22.5,"Demox Research",1000
"308","SPÖ",2019-05-31,21,"Unique Research",954
"309","ÖVP",2019-05-31,37.5,"Demox Research",1000
"310","ÖVP",2019-05-31,38,"Unique Research",954
"311","FPÖ",2019-06-05,21,"Unique Research",800
"312","GRÜNE",2019-06-05,10,"Unique Research",800
"313","NEOS",2019-06-05,10,"Unique Research",800
"314","SPÖ",2019-06-05,20,"Unique Research",800
"315","ÖVP",2019-06-05,37,"Unique Research",800
"316","FPÖ",2019-06-06,19,"Market",809
"317","GRÜNE",2019-06-06,10,"Market",809
"318","NEOS",2019-06-06,9,"Market",809
"319","SPÖ",2019-06-06,22,"Market",809
"320","ÖVP",2019-06-06,38,"Market",809
"321","FPÖ",2019-06-10,18,"SORA",1089
"322","GRÜNE",2019-06-10,12,"SORA",1089
"323","NEOS",2019-06-10,8,"SORA",1089
"324","SPÖ",2019-06-10,21,"SORA",1089
"325","ÖVP",2019-06-10,38,"SORA",1089
"326","FPÖ",2019-06-28,20,"Peter Hajek",800
"327","GRÜNE",2019-06-28,11,"Peter Hajek",800
"328","NEOS",2019-06-28,9,"Peter Hajek",800
"329","SPÖ",2019-06-28,20,"Peter Hajek",800
"330","ÖVP",2019-06-28,38,"Peter Hajek",800
"331","FPÖ",2019-07-09,20,"Market",807
"332","GRÜNE",2019-07-09,11,"Market",807
"333","NEOS",2019-07-09,10,"Market",807
"334","SPÖ",2019-07-09,21,"Market",807
"335","ÖVP",2019-07-09,36,"Market",807
"336","FPÖ",2019-07-12,21,"Unique Research",800
"337","GRÜNE",2019-07-12,11,"Unique Research",800
"338","NEOS",2019-07-12,9,"Unique Research",800
"339","SPÖ",2019-07-12,20,"Unique Research",800
"340","ÖVP",2019-07-12,37,"Unique Research",800
"341","FPÖ",2019-08-05,20,"Market",800
"342","GRÜNE",2019-08-05,10,"Market",800
"343","NEOS",2019-08-05,10,"Market",800
"344","SPÖ",2019-08-05,22,"Market",800
"345","ÖVP",2019-08-05,35,"Market",800
"346","FPÖ",2019-08-09,22,"Kowarcz Marktforschung",1600
"347","GRÜNE",2019-08-09,13,"Kowarcz Marktforschung",1600
"348","NEOS",2019-08-09,9,"Kowarcz Marktforschung",1600
"349","SPÖ",2019-08-09,20,"Kowarcz Marktforschung",1600
"350","ÖVP",2019-08-09,31,"Kowarcz Marktforschung",1600
"351","FPÖ",2019-08-12,20,"OGM",812
"352","GRÜNE",2019-08-12,11,"OGM",812
"353","NEOS",2019-08-12,8,"OGM",812
"354","SPÖ",2019-08-12,23,"OGM",812
"355","ÖVP",2019-08-12,35,"OGM",812
"356","FPÖ",2019-08-22,20,"Unique Research",800
"357","GRÜNE",2019-08-22,12,"Unique Research",800
"358","NEOS",2019-08-22,9,"Unique Research",800
"359","SPÖ",2019-08-22,20,"Unique Research",800
"360","ÖVP",2019-08-22,36,"Unique Research",800
"361","FPÖ",2019-09-03,20,"Karmasin Research & Identity",3000
"362","GRÜNE",2019-09-03,12,"Karmasin Research & Identity",3000
"363","NEOS",2019-09-03,9,"Karmasin Research & Identity",3000
"364","SPÖ",2019-09-03,21,"Karmasin Research & Identity",3000
"365","ÖVP",2019-09-03,35,"Karmasin Research & Identity",3000
"366","FPÖ",2019-09-04,21,"Market",800
"367","GRÜNE",2019-09-04,11,"Market",800
"368","NEOS",2019-09-04,9,"Market",800
"369","SPÖ",2019-09-04,22,"Market",800
"370","ÖVP",2019-09-04,34,"Market",800
"371","FPÖ",2019-09-08,21,"Market",803
"372","GRÜNE",2019-09-08,10,"Market",803
"373","NEOS",2019-09-08,10,"Market",803
"374","SPÖ",2019-09-08,22,"Market",803
"375","ÖVP",2019-09-08,34,"Market",803
"376","FPÖ",2019-09-10,19,"Karmasin Research & Identity",3000
"377","GRÜNE",2019-09-10,12,"Karmasin Research & Identity",3000
"378","NEOS",2019-09-10,9,"Karmasin Research & Identity",3000
"379","SPÖ",2019-09-10,22,"Karmasin Research & Identity",3000
"380","ÖVP",2019-09-10,35,"Karmasin Research & Identity",3000
"381","FPÖ",2019-09-13,20,"OGM",2167
"382","FPÖ",2019-09-13,20,"Unique Research",2402
"383","GRÜNE",2019-09-13,11,"OGM",2167
"384","GRÜNE",2019-09-13,13,"Unique Research",2402
"385","NEOS",2019-09-13,8,"OGM",2167
"386","NEOS",2019-09-13,8,"Unique Research",2402
"387","SPÖ",2019-09-13,22,"OGM",2167
"388","SPÖ",2019-09-13,22,"Unique Research",2402
"389","ÖVP",2019-09-13,35,"OGM",2167
"390","ÖVP",2019-09-13,33,"Unique Research",2402
"391","FPÖ",2019-09-17,20,"Karmasin Research & Identity",3000
"392","GRÜNE",2019-09-17,13,"Karmasin Research & Identity",3000
"393","NEOS",2019-09-17,9,"Karmasin Research & Identity",3000
"394","SPÖ",2019-09-17,22,"Karmasin Research & Identity",3000
"395","ÖVP",2019-09-17,34,"Karmasin Research & Identity",3000
"396","FPÖ",2019-09-18,26,"Institut für Grundlagenforschung",710
"397","FPÖ",2019-09-18,20,"Market",806
"398","GRÜNE",2019-09-18,11,"Institut für Grundlagenforschung",710
"399","GRÜNE",2019-09-18,11,"Market",806
"400","NEOS",2019-09-18,8,"Institut für Grundlagenforschung",710
"401","NEOS",2019-09-18,8,"Market",806
"402","SPÖ",2019-09-18,19,"Institut für Grundlagenforschung",710
"403","SPÖ",2019-09-18,23,"Market",806
"404","ÖVP",2019-09-18,32,"Institut für Grundlagenforschung",710
"405","ÖVP",2019-09-18,35,"Market",806
"406","FPÖ",2019-09-20,20,"Peter Hajek",3021
"407","GRÜNE",2019-09-20,13,"Peter Hajek",3021
"408","NEOS",2019-09-20,8,"Peter Hajek",3021
"409","SPÖ",2019-09-20,22,"Peter Hajek",3021
"410","ÖVP",2019-09-20,34,"Peter Hajek",3021
"411","FPÖ",2019-09-23,20,"OGM",1006
"412","GRÜNE",2019-09-23,12,"OGM",1006
"413","NEOS",2019-09-23,8,"OGM",1006
"414","SPÖ",2019-09-23,22,"OGM",1006
"415","ÖVP",2019-09-23,34,"OGM",1006
"416","FPÖ",2019-10-11,17,"Unique Research",807
"417","GRÜNE",2019-10-11,15,"Unique Research",807
"418","NEOS",2019-10-11,9,"Unique Research",807
"419","SPÖ",2019-10-11,20,"Unique Research",807
"420","ÖVP",2019-10-11,37,"Unique Research",807
"421","FPÖ",2019-10-17,16,"Market",802
"422","GRÜNE",2019-10-17,15,"Market",802
"423","NEOS",2019-10-17,9,"Market",802
"424","SPÖ",2019-10-17,20,"Market",802
"425","ÖVP",2019-10-17,38,"Market",802
"426","FPÖ",2019-11-13,15,"Karmasin Research & Identity",3000
"427","GRÜNE",2019-11-13,15,"Karmasin Research & Identity",3000
"428","NEOS",2019-11-13,9,"Karmasin Research & Identity",3000
"429","SPÖ",2019-11-13,20,"Karmasin Research & Identity",3000
"430","ÖVP",2019-11-13,38,"Karmasin Research & Identity",3000
"431","FPÖ",2019-11-15,17,"Unique Research",817
"432","GRÜNE",2019-11-15,16,"Unique Research",817
"433","NEOS",2019-11-15,9,"Unique Research",817
"434","SPÖ",2019-11-15,19,"Unique Research",817
"435","ÖVP",2019-11-15,38,"Unique Research",817
"436","FPÖ",2019-12-04,15,"Market",792
"437","GRÜNE",2019-12-04,16,"Market",792
"438","NEOS",2019-12-04,10,"Market",792
"439","SPÖ",2019-12-04,18,"Market",792
"440","ÖVP",2019-12-04,39,"Market",792
"441","FPÖ",2019-12-13,15,"Unique Research",807
"442","GRÜNE",2019-12-13,17,"Unique Research",807
"443","NEOS",2019-12-13,10,"Unique Research",807
"444","SPÖ",2019-12-13,18,"Unique Research",807
"445","ÖVP",2019-12-13,39,"Unique Research",807
"446","FPÖ",2019-12-19,14,"Market",806
"447","GRÜNE",2019-12-19,16,"Market",806
"448","NEOS",2019-12-19,10,"Market",806
"449","SPÖ",2019-12-19,19,"Market",806
"450","ÖVP",2019-12-19,39,"Market",806
"451","FPÖ",2020-01-10,16,"Unique Research",806
"452","GRÜNE",2020-01-10,17,"Unique Research",806
"453","NEOS",2020-01-10,10,"Unique Research",806
"454","SPÖ",2020-01-10,16,"Unique Research",806
"455","ÖVP",2020-01-10,38,"Unique Research",806
"456","FPÖ",2020-01-15,15,"Karmasin Research & Identity",1000
"457","GRÜNE",2020-01-15,17,"Karmasin Research & Identity",1000
"458","NEOS",2020-01-15,9,"Karmasin Research & Identity",1000
"459","SPÖ",2020-01-15,17,"Karmasin Research & Identity",1000
"460","ÖVP",2020-01-15,39,"Karmasin Research & Identity",1000
"461","FPÖ",2020-01-31,15,"Peter Hajek",802
"462","GRÜNE",2020-01-31,14,"Peter Hajek",802
"463","NEOS",2020-01-31,9,"Peter Hajek",802
"464","SPÖ",2020-01-31,18,"Peter Hajek",802
"465","ÖVP",2020-01-31,40,"Peter Hajek",802
"466","FPÖ",2020-02-06,15,"Market",813
"467","GRÜNE",2020-02-06,17,"Market",813
"468","NEOS",2020-02-06,9,"Market",813
"469","SPÖ",2020-02-06,19,"Market",813
"470","ÖVP",2020-02-06,39,"Market",813
"471","FPÖ",2020-02-14,16,"Unique Research",804
"472","GRÜNE",2020-02-14,17,"Unique Research",804
"473","NEOS",2020-02-14,10,"Unique Research",804
"474","SPÖ",2020-02-14,15,"Unique Research",804
"475","ÖVP",2020-02-14,38,"Unique Research",804
"476","FPÖ",2020-03-12,13,"Market",1000
"477","GRÜNE",2020-03-12,17,"Market",1000
"478","NEOS",2020-03-12,9,"Market",1000
"479","SPÖ",2020-03-12,20,"Market",1000
"480","ÖVP",2020-03-12,40,"Market",1000
"481","FPÖ",2020-03-13,17,"Unique Research",811
"482","GRÜNE",2020-03-13,16,"Unique Research",811
"483","NEOS",2020-03-13,9,"Unique Research",811
"484","SPÖ",2020-03-13,16,"Unique Research",811
"485","ÖVP",2020-03-13,39,"Unique Research",811
"486","FPÖ",2020-03-31,11,"Market",1000
"487","GRÜNE",2020-03-31,19,"Market",1000
"488","NEOS",2020-03-31,7,"Market",1000
"489","SPÖ",2020-03-31,19,"Market",1000
"490","ÖVP",2020-03-31,43,"Market",1000
"491","FPÖ",2020-04-02,12,"OGM",800
"492","GRÜNE",2020-04-02,18,"OGM",800
"493","NEOS",2020-04-02,7,"OGM",800
"494","SPÖ",2020-04-02,16,"OGM",800
"495","ÖVP",2020-04-02,45,"OGM",800
"496","FPÖ",2020-04-07,11,"Market",1800
"497","GRÜNE",2020-04-07,19,"Market",1800
"498","NEOS",2020-04-07,6,"Market",1800
"499","SPÖ",2020-04-07,19,"Market",1800
"500","ÖVP",2020-04-07,44,"Market",1800
"501","FPÖ",2020-04-14,10,"Peter Hajek",807
"502","GRÜNE",2020-04-14,16,"Peter Hajek",807
"503","NEOS",2020-04-14,7,"Peter Hajek",807
"504","SPÖ",2020-04-14,17,"Peter Hajek",807
"505","ÖVP",2020-04-14,46,"Peter Hajek",807
"506","FPÖ",2020-04-16,13,"Unique Research",806
"507","GRÜNE",2020-04-16,16,"Unique Research",806
"508","NEOS",2020-04-16,6,"Unique Research",806
"509","SPÖ",2020-04-16,16,"Unique Research",806
"510","ÖVP",2020-04-16,48,"Unique Research",806
"511","FPÖ",2020-04-22,10,"Market",1000
"512","GRÜNE",2020-04-22,18,"Market",1000
"513","NEOS",2020-04-22,7,"Market",1000
"514","SPÖ",2020-04-22,20,"Market",1000
"515","ÖVP",2020-04-22,44,"Market",1000
"516","FPÖ",2020-05-13,11,"Market",1000
"517","GRÜNE",2020-05-13,17,"Market",1000
"518","NEOS",2020-05-13,6,"Market",1000
